epoch,train_loss,val_loss
1,0.0765,0.0547
2,0.0383,0.0425
3,0.0370,0.0594
4,0.0352,0.0328
5,0.0336,0.0277
6,0.0344,0.0719
7,0.0341,0.0361
8,0.0336,0.0280
9,0.0337,0.0289
10,0.0329,0.0348
11,0.0320,0.0342
12,0.0317,0.0300
13,0.0309,0.0460
14,0.0322,0.0393
15,0.0309,0.0412
16,0.0304,0.0268
17,0.0298,0.0284
18,0.0297,0.0274
19,0.0289,0.0264
20,0.0296,0.0277
21,0.0287,0.0238
22,0.0280,0.0297
23,0.0279,0.0239
24,0.0282,0.0231
25,0.0280,0.0299
26,0.0276,0.0233
27,0.0284,0.0250
28,0.0275,0.0311
29,0.0274,0.0233
30,0.0271,0.0238
31,0.0271,0.0221
32,0.0272,0.0225
33,0.0272,0.0233
34,0.0267,0.0233
35,0.0269,0.0218
36,0.0267,0.0257
37,0.0269,0.0236
38,0.0265,0.0262
39,0.0263,0.0212
40,0.0265,0.0226
41,0.0267,0.0213
42,0.0264,0.0213
43,0.0262,0.0205
44,0.0264,0.0208
45,0.0264,0.0224
46,0.0262,0.0230
47,0.0261,0.0251
48,0.0258,0.0219
49,0.0261,0.0204
50,0.0259,0.0225
51,0.0257,0.0212
52,0.0259,0.0206
53,0.0258,0.0222
54,0.0258,0.0199
55,0.0259,0.0205
56,0.0256,0.0197
57,0.0257,0.0232
58,0.0264,0.0218
59,0.0255,0.0202
60,0.0256,0.0237
61,0.0256,0.0204
62,0.0256,0.0261
63,0.0256,0.0196
64,0.0254,0.0189
65,0.0259,0.0198
66,0.0257,0.0229
67,0.0255,0.0196
68,0.0255,0.0193
69,0.0255,0.0193
70,0.0254,0.0202
71,0.0254,0.0236
72,0.0253,0.0197
73,0.0254,0.0203
74,0.0252,0.0202
75,0.0253,0.0196
76,0.0254,0.0193
77,0.0252,0.0203
78,0.0253,0.0194
79,0.0252,0.0197
80,0.0254,0.0195
81,0.0251,0.0191
82,0.0251,0.0195
83,0.0251,0.0188
84,0.0252,0.0192
85,0.0252,0.0198
86,0.0252,0.0189
87,0.0250,0.0188
88,0.0250,0.0216
89,0.0252,0.0204
90,0.0250,0.0195
91,0.0249,0.0188
92,0.0252,0.0190
93,0.0252,0.0198
94,0.0250,0.0185
95,0.0252,0.0184
96,0.0251,0.0218
97,0.0250,0.0191
98,0.0250,0.0195
99,0.0249,0.0182
100,0.0249,0.0186
101,0.0250,0.0200
102,0.0250,0.0220
103,0.0250,0.0199
104,0.0248,0.0185
105,0.0250,0.0209
106,0.0249,0.0184
107,0.0250,0.0199
108,0.0248,0.0201
109,0.0248,0.0225
110,0.0248,0.0197
111,0.0248,0.0209
112,0.0249,0.0257
113,0.0248,0.0195
114,0.0249,0.0211
115,0.0248,0.0201
116,0.0248,0.0190
117,0.0247,0.0184
118,0.0246,0.0188
119,0.0247,0.0193
120,0.0250,0.0192
121,0.0240,0.0175
122,0.0238,0.0175
123,0.0239,0.0177
124,0.0238,0.0177
125,0.0237,0.0192
126,0.0238,0.0168
127,0.0238,0.0180
128,0.0237,0.0217
129,0.0238,0.0195
130,0.0238,0.0173
131,0.0236,0.0168
132,0.0238,0.0165
133,0.0237,0.0185
134,0.0237,0.0181
135,0.0237,0.0182
136,0.0237,0.0168
137,0.0236,0.0169
138,0.0236,0.0180
139,0.0237,0.0176
140,0.0236,0.0176
141,0.0235,0.0173
142,0.0236,0.0172
143,0.0236,0.0169
144,0.0236,0.0185
145,0.0236,0.0175
146,0.0235,0.0178
147,0.0236,0.0170
148,0.0234,0.0172
149,0.0235,0.0168
150,0.0235,0.0166
151,0.0235,0.0168
152,0.0236,0.0165
153,0.0234,0.0175
154,0.0234,0.0176
155,0.0235,0.0167
156,0.0235,0.0169
157,0.0235,0.0176
158,0.0235,0.0170
159,0.0235,0.0167
160,0.0234,0.0169
161,0.0234,0.0181
162,0.0235,0.0171
163,0.0236,0.0174
164,0.0234,0.0163
165,0.0234,0.0169
166,0.0235,0.0171
167,0.0234,0.0181
168,0.0236,0.0172
169,0.0235,0.0169
170,0.0234,0.0175
171,0.0235,0.0181
172,0.0234,0.0164
173,0.0235,0.0174
174,0.0234,0.0172
175,0.0234,0.0177
176,0.0234,0.0174
177,0.0234,0.0172
178,0.0233,0.0173
179,0.0233,0.0182
180,0.0235,0.0174
181,0.0233,0.0174
182,0.0234,0.0165
183,0.0235,0.0168
184,0.0234,0.0163
185,0.0234,0.0174
186,0.0229,0.0162
187,0.0227,0.0180
188,0.0228,0.0168
189,0.0227,0.0158
190,0.0227,0.0160
191,0.0227,0.0156
192,0.0226,0.0160
193,0.0227,0.0157
194,0.0227,0.0158
195,0.0227,0.0157
196,0.0226,0.0161
197,0.0227,0.0160
198,0.0225,0.0159
199,0.0226,0.0157
200,0.0225,0.0159
201,0.0225,0.0157
202,0.0226,0.0157
203,0.0225,0.0155
204,0.0225,0.0161
205,0.0225,0.0159
206,0.0226,0.0159
207,0.0224,0.0164
208,0.0226,0.0158
209,0.0224,0.0156
210,0.0225,0.0164
211,0.0226,0.0159
212,0.0225,0.0164
213,0.0225,0.0157
214,0.0225,0.0160
215,0.0225,0.0160
216,0.0225,0.0157
217,0.0224,0.0157
218,0.0225,0.0158
219,0.0225,0.0161
220,0.0224,0.0165
221,0.0225,0.0166
222,0.0224,0.0155
223,0.0223,0.0157
224,0.0224,0.0157
225,0.0221,0.0153
226,0.0222,0.0151
227,0.0220,0.0154
228,0.0221,0.0151
229,0.0221,0.0152
230,0.0220,0.0152
231,0.0220,0.0152
232,0.0221,0.0150
233,0.0219,0.0153
234,0.0220,0.0152
235,0.0219,0.0151
236,0.0221,0.0153
237,0.0220,0.0151
238,0.0220,0.0151
239,0.0218,0.0152
240,0.0220,0.0150
241,0.0219,0.0151
242,0.0219,0.0155
243,0.0219,0.0157
244,0.0219,0.0152
245,0.0218,0.0150
246,0.0219,0.0150
247,0.0218,0.0150
248,0.0218,0.0158
249,0.0219,0.0154
250,0.0219,0.0150
251,0.0219,0.0151
252,0.0219,0.0152
253,0.0218,0.0154
254,0.0219,0.0150
255,0.0218,0.0149
256,0.0218,0.0150
257,0.0219,0.0151
258,0.0218,0.0151
259,0.0219,0.0149
260,0.0218,0.0158
261,0.0219,0.0151
262,0.0218,0.0150
263,0.0217,0.0152
264,0.0218,0.0155
265,0.0218,0.0149
266,0.0218,0.0148
267,0.0219,0.0154
268,0.0218,0.0155
269,0.0218,0.0152
270,0.0218,0.0150
271,0.0218,0.0150
272,0.0218,0.0153
273,0.0218,0.0154
274,0.0218,0.0149
275,0.0218,0.0150
276,0.0218,0.0150
277,0.0217,0.0151
278,0.0217,0.0150
279,0.0218,0.0152
280,0.0218,0.0151
281,0.0218,0.0149
282,0.0218,0.0149
283,0.0218,0.0152
284,0.0218,0.0153
285,0.0218,0.0151
286,0.0218,0.0150
287,0.0217,0.0153
288,0.0216,0.0148
289,0.0215,0.0147
290,0.0214,0.0147
291,0.0216,0.0147
292,0.0215,0.0146
293,0.0215,0.0149
294,0.0215,0.0147
295,0.0215,0.0147
296,0.0214,0.0147
297,0.0215,0.0148
298,0.0215,0.0147
299,0.0214,0.0148
300,0.0215,0.0147
301,0.0214,0.0146
302,0.0215,0.0147
303,0.0215,0.0147
304,0.0214,0.0146
305,0.0214,0.0148
306,0.0214,0.0147
307,0.0214,0.0148
308,0.0215,0.0146
309,0.0215,0.0147
310,0.0214,0.0147
311,0.0214,0.0152
312,0.0215,0.0146
313,0.0214,0.0147
314,0.0214,0.0147
315,0.0213,0.0146
316,0.0214,0.0150
317,0.0213,0.0149
318,0.0214,0.0147
319,0.0215,0.0148
320,0.0213,0.0148
321,0.0215,0.0147
322,0.0214,0.0147
323,0.0214,0.0148
324,0.0213,0.0146
325,0.0214,0.0149
326,0.0213,0.0148
327,0.0214,0.0148
328,0.0213,0.0147
329,0.0213,0.0147
330,0.0213,0.0148
331,0.0213,0.0148
332,0.0214,0.0147
333,0.0213,0.0148
334,0.0213,0.0147
335,0.0212,0.0147
336,0.0212,0.0146
337,0.0212,0.0146
338,0.0212,0.0147
339,0.0212,0.0148
340,0.0212,0.0145
341,0.0212,0.0147
342,0.0211,0.0146
343,0.0212,0.0146
344,0.0212,0.0147
345,0.0212,0.0146
346,0.0212,0.0146
347,0.0211,0.0146
348,0.0211,0.0145
349,0.0212,0.0146
350,0.0211,0.0146
351,0.0212,0.0145
352,0.0211,0.0146
353,0.0211,0.0147
354,0.0211,0.0146
355,0.0212,0.0146
356,0.0211,0.0146
357,0.0212,0.0146
358,0.0211,0.0147
359,0.0212,0.0147
360,0.0211,0.0145
361,0.0211,0.0146
362,0.0211,0.0147
363,0.0211,0.0146
364,0.0212,0.0146
365,0.0211,0.0146
366,0.0211,0.0146
367,0.0212,0.0147
368,0.0211,0.0147
369,0.0212,0.0146
370,0.0211,0.0147
371,0.0211,0.0147
372,0.0211,0.0147
373,0.0210,0.0147
374,0.0212,0.0148
375,0.0211,0.0146
376,0.0211,0.0147
377,0.0211,0.0147
378,0.0211,0.0147
379,0.0210,0.0146
380,0.0211,0.0146
381,0.0211,0.0147
382,0.0210,0.0146
383,0.0211,0.0147
384,0.0210,0.0146
385,0.0210,0.0146
386,0.0210,0.0146
387,0.0211,0.0146
388,0.0210,0.0146
389,0.0211,0.0146
390,0.0210,0.0146
391,0.0210,0.0147
392,0.0209,0.0146
393,0.0209,0.0146
394,0.0210,0.0147
395,0.0210,0.0147
396,0.0211,0.0146
397,0.0210,0.0146
398,0.0210,0.0148
399,0.0211,0.0146
400,0.0210,0.0145
